EstablishmentName,Easting,Northing
Grinling Gibbons Primary School,536930,177681
Haseltine Primary School,536607,171749
Brindishe Green School,538752,174369
Holbeach Primary School,537465,173958
John Stainer Community Primary School,536277,175737
Kelvin Grove Primary School,534761,172179
Kender Primary School,535468,176916
Launcelot Primary School,540149,171655
Lee Manor School,539350,174478
Lucas Vale Primary School,537042,176596
Marvels Lane Primary School,541432,171932
Rangefield Primary School,539405,171393
Rathfern Primary School,536828,173191
Rushey Green Primary School,537770,173407
Sandhurst Junior School,539055,173451
Sandhurst Infant and Nursery School,539055,173451
Stillness Junior School,536370,174094
Stillness Infant School,536370,174094
Torridon Junior School,538945,172742
Torridon Infant School,538945,172742
John Ball Primary School,539376,176050
Fairlawn Primary School,535292,173813
Eliot Bank Primary School,534813,172681
Sir Francis Drake Primary School,536041,178131
Myatt Garden Primary School,536827,176434
Horniman Primary School,534976,173432
Perrymount Primary School,535860,172698
Ashmead Primary School,536830,177170
Brindishe Lee School,539672,174662
Kilmorie Primary School,536338,172903
All Saints' Church of England Primary School,539253,176405
St Mary Magdalen's Catholic Primary School,536414,175169
Christ Church CofE Primary School,535515,172758
Good Shepherd RC School,539874,171640
Holy Trinity Church of England Primary School,535188,172518
St Margaret's Lee CofE Primary School,539396,175309
St Augustine's Catholic Primary School and Nursery,537997,171320
St Bartholomews's Church of England Primary School,535296,172015
St James's Hatcham Church of England Primary School,536349,176875
St John Baptist Southend Church of England Primary School,538325,171872
St Joseph's Catholic Primary School,537224,177395
St Mary's Lewisham Church of England Primary School,537996,174766
St Michael's Church of England Primary School,536204,171826
Our Lady and St Philip Neri Roman Catholic Primary School,536259,171533
St Saviour's Catholic Primary School,538324,175333
St Stephen's Church of England Primary School,537294,176489
St Winifred's Catholic Infant and Nursery School,539444,174637
St William of York Catholic Primary School,536366,173525
St Winifred's Catholic Junior School,539752,173994
Holy Cross Roman Catholic Primary School,537933,173402
Deptford Green School,536675,177410
Sydenham School,535005,172368
Conisborough College,538361,172407
Sedgehill School,537552,171151
Forest Hill School,535796,172139
Prendergast - Ladywell Fields College,537154,174148
Addey and Stanhope School,537032,176920
"Trinity Church of England School, Lewisham",539574,174825
Prendergast-Hilly Fields College,537237,175236
Bonus Pastor Catholic College,539024,171621
Turnham Primary School,536124,175140
St Dunstan's College,537093,173490
Blackheath High School,540084,177322
Sydenham High School GDST,534676,171482
Brent Knoll School,535965,172023
New Woodlands School,539238,171938
Greenvale School,536370,172177
Watergate School,537621,171451
Kintore Way Children's Centre,533656,179025
Sumner Nursery School,533573,177117
Dulwich Wood Nursery School,533578,172013
Nell Gwynn Nursery School,534515,176877
Grove Children & Family Centre,533239,177431
Albion Primary School,535335,179689
Bellenden Primary School,534099,175989
Camelot Primary School,534575,177497
Charles Dickens Primary School,532214,179740
Cobourg Primary School,533624,177958
Comber Grove School,532228,177123
Crampton School,531943,178490
Crawford Primary School,532360,176513
Dog Kennel Hill School,533269,175790
Gloucester School,533545,177492
Goodrich Community Primary School,534340,174098
Grange Primary School,533244,179211
Heber Primary School,533949,174413
Hollydale Primary School,535369,176100
Ilderton Primary School,535190,178023
Ivydale Primary School,535830,175214
John Donne Primary School,534743,176680
John Ruskin Primary School and Language Classes,532224,177728
Keyworth Primary School,531692,178119
Langbourne Primary School,533366,172068
Lyndhurst Primary School,532889,176333
Michael Faraday School,532828,177988
Riverside Primary School,534423,179618
Robert Browning Primary School,532525,178379
Rotherhithe Primary School,535484,178762
Snowsfields Primary School,533094,179804
Southwark Park School,534812,178564
Tower Bridge Primary School,533570,179825
Townsend Primary School,533028,178832
Victory School,532497,178834
Charlotte Sharman Primary School,531591,179128
Phoenix Primary School,534192,178136
Pilgrims' Way Primary School,535095,177517
Alfred Salter Primary School,535897,179666
Oliver Goldsmith Primary School,533566,176849
Boutcher Church of England Primary School,533647,178966
Dulwich Village Church of England Infants' School,533016,174251
English Martyrs Roman Catholic Primary School,532857,178548
St James the Great Roman Catholic Primary School,533921,176804
St Francis RC Primary School,534323,177446
St George's Church of England Primary School,533123,177455
St George's Cathedral Catholic Primary School,531508,179409
St James' Church of England Primary School,534223,179425
St Johns' and St Clements Church of England Primary School,534049,175559
St John's Walworth Church of England Primary School,532297,178577
St Joseph's Roman Catholic Primary School,534097,179619
St Joseph's Catholic Primary School,535330,179141
St Joseph's Catholic Primary School,532485,179893
St Jude's Church of England Primary School,531616,179248
St Mary Magdalene Church of England Primary School,534646,176177
Peter Hills with St Mary's and St Paul's CofE Primary School,535947,180402
"St Paul's Church of England Primary School, Walworth",532078,178089
St Peter's Church of England Primary School,532484,178081
The Cathedral School of St Saviour and St Mary Overy,532389,179937
St John's Roman Catholic Primary School,536038,179747
St Saviour's and St Olave's Church of England School,532857,179036
St Francesca Cabrini Primary School,535351,174032
St Anthony's Catholic Primary School,534062,174062
St Joseph's Catholic Junior School,532109,177303
St Joseph's Catholic Infants School,532109,177303
Friars Primary Foundation School,531739,179767
The St Thomas the Apostle College,535096,176433
Notre Dame Roman Catholic Girls' School,531562,179260
Dulwich College,533191,172993
Dulwich College Preparatory School,533196,172317
James Allen's Girls' School,533103,174616
Alleyn's School,533359,174611
Herne Hill School,532186,174572
Chrysolyte Independent Christian School,532913,179245
Highshore School,533976,176578
Spa School,534252,178747
Newlands School,535594,175114
Evelina Hospital School,530620,179339
Bethlem and Maudsley Hospital School,537211,166495
Haymerle School,534130,177566
Beormund Primary School,532777,179711
Tuke School,534649,176671
Cherry Garden School,534329,178851
Childrens House Nursery School,537629,182680
Columbia Market Nursery School,533684,182811
Old Church Nursery School,535782,181478
Rachel Keeling Nursery School,535568,182775
Alice Model Nursery School,535617,182047
Harry Roberts Nursery School,536179,182059
Tower Hamlets PRU,535593,182316
Ben Jonson Primary School,536179,182059
Bonner Primary School,535452,183006
Old Palace Primary School,537853,182838
Canon Barnett Primary School,533888,181473
Cayley Primary School,536206,181504
Blue Gate Fields Junior School,535119,180864
Chisenhale Primary School,536115,183374
Columbia Primary School,533972,182914
Cubitt Town Junior School,538254,179195
Culloden Primary School,538399,181277
Cyril Jackson Primary School,536813,180888
The Clara Grant Primary School,537486,182177
Globe Primary School,535260,182916
Hague Primary School,534743,182456
Harbinger Primary School,537560,178580
John Scurr Primary School,535216,182155
Lawdale Junior School,534502,182835
Elizabeth Selby Infants' School,534427,182833
Marion Richardson Primary School,535682,181244
Marner Primary School,537992,182318
Mayflower Primary School,537483,181055
Mowlem Primary School,535051,183434
Blue Gate Fields Infants' School,535119,180864
Olga Primary School,536311,183145
Redlands Primary School,535276,181826
Manorfield Primary School,537943,181797
Stebon Primary School,537074,181611
Stewart Headlam Primary School,534719,182243
Virginia Primary School,533612,182593
Wellington Primary School,537160,182604
Woolmore Primary School,538273,180944
Thomas Buxton Primary School,534355,182089
Seven Mills Primary School,537259,179545
Cubitt Town Infants' School,538254,179195
Osmani Primary School,534348,182017
Shapla Primary School,534320,180791
Hermitage Primary School,534344,180251
Bangabandhu Primary School,535234,182582
Halley Primary School,536272,181728
Bigland Green Primary School,534732,181144
Kobi Nazrul Primary School,534367,181447
Smithy Street School,535263,181775
Bygrove Primary School,537579,181154
William Davis Primary School,534875,182980
Christ Church CofE School,533875,181751
Guardian Angels Roman Catholic Primary School,536313,182505
The Stepney Greencoat Church of England Primary School,536632,181305
Our Lady Roman Catholic Primary School,536767,181220
St Agnes RC Primary School,537541,182817
St Anne's Catholic Primary School,534143,182018
St Edmund Roman Catholic School,537362,178752
St John's Church of England Primary School,535057,183029
St Luke's Church of England Primary School,538579,178697
St Matthias Church of England Primary School,533939,182322
St Paul with St Luke CofE Primary School,536879,181745
St Paul's Whitechapel Church of England Primary School,534320,180791
